Change,Close,Date,Momentum,open
0,311.349976,1/4/2010,0,311.349976
0.004403707,309.978882,1/5/2010,0,309.9832857
0.025208746,302.164703,1/6/2010,0,302.1899117
0.023279489,295.130463,1/7/2010,0,295.1537425
0.013331111,299.06488,1/8/2010,1,299.0515489
0.001511568,298.612823,1/11/2010,0,298.6143346
0.017684003,293.332153,1/12/2010,0,293.349837
0.005741106,291.648102,1/13/2010,0,291.6538431
0.004701193,293.019196,1/14/2010,1,293.0144948
0.01669921,288.126007,1/15/2010,0,288.1427062
0.013138002,291.911407,1/19/2010,1,291.898269
0.012269908,288.329681,1/20/2010,0,288.3419509
0.004427928,289.606384,1/21/2010,1,289.6019561
0.056554275,273.227905,1/22/2010,0,273.2844593
0.018199664,268.255249,1/25/2010,0,268.2734487
0.004481474,269.457428,1/26/2010,1,269.4529465
0.000589948,269.298462,1/27/2010,0,269.2990519
0.014406919,265.418701,1/28/2010,0,265.4331079
0.008141664,263.257751,1/29/2010,0,263.2658927
0.005812023,264.787811,2/1/2010,1,264.781999
0.003564541,263.843964,2/2/2010,0,263.8475285
0.018263196,268.662598,2/3/2010,1,268.6443348
0.025960592,261.687958,2/4/2010,0,261.7139186
0.008561525,263.928406,2/5/2010,1,263.9198445
0.004103185,265.011353,2/8/2010,1,265.0072498
0.005567316,266.486755,2/9/2010,1,266.4811877
0.003709588,265.498199,2/10/2010,0,265.5019086
0.003648571,266.466888,2/11/2010,1,266.4632394
0.006114809,264.837494,2/12/2010,0,264.8436088
0.015343628,268.901062,2/16/2010,1,268.8857184
0.005708546,267.366028,2/17/2010,0,267.3717365
0.009308699,269.854858,2/18/2010,1,269.8455493
0.004528527,268.632813,2/19/2010,0,268.6373415
0.003772424,269.64621,2/22/2010,1,269.6424376
0.014240983,265.806183,2/23/2010,0,265.820424
0.006728064,264.017822,2/24/2010,0,264.0245501
0.009483159,261.514099,2/25/2010,0,261.5235822
0.000702857,261.697906,2/26/2010,1,261.6972031
0.011180697,264.623871,3/1/2010,1,264.6126903
0.015712713,268.78183,3/2/2010,1,268.7661173
0.007873453,270.898071,3/3/2010,1,270.8901975
0.016999169,275.503113,3/4/2010,1,275.4861138
0.017346192,280.282043,3/5/2010,1,280.2646968
0.003066215,279.422638,3/8/2010,0,279.4257042
0.004071266,278.285034,3/9/2010,0,278.2891053
0.02902583,286.362488,3/10/2010,1,286.3334622
0.008135961,288.692322,3/11/2010,1,288.684186
0.002753211,287.897491,3/12/2010,0,287.9002442
0.02822927,279.770355,3/15/2010,0,279.7985843
0.003586795,280.773834,3/16/2010,1,280.7702472
0.000636929,280.952667,3/17/2010,1,280.9520301
0.001485296,281.369965,3/18/2010,1,281.3684797
0.011299436,278.190643,3/19/2010,0,278.2019424
0.004464252,276.94873,3/22/2010,0,276.9531943
0.015246735,272.726166,3/23/2010,0,272.7414127
0.015173066,276.864258,3/24/2010,1,276.8490849
0.009958237,279.621338,3/25/2010,1,279.6113798
0.000337567,279.526947,3/26/2010,0,279.5272846
0.000426549,279.407715,3/29/2010,0,279.4081415
0.007574025,281.523956,3/30/2010,1,281.516382
0.000723473,281.727631,3/31/2010,1,281.7269075
0.002962308,282.562195,4/1/2010,1,282.5592327
0.00388541,283.660065,4/5/2010,1,283.6561796
0.004886084,282.274078,4/6/2010,0,282.2789641
0.008236286,279.949188,4/7/2010,0,279.9574243
0.007009308,281.911438,4/8/2010,1,281.9044287
0.002237901,281.280548,4/9/2010,0,281.2827859
0.011497233,284.514496,4/12/2010,1,284.5029988
0.024514182,291.489136,4/13/2010,1,291.4646218
0.003800444,292.596924,4/14/2010,1,292.5931236
0.010696179,295.726593,4/15/2010,1,295.7158968
0.07584417,273.297455,4/16/2010,0,273.3732992
9.09E-05,273.272614,4/19/2010,0,273.2727049
0.00898019,275.726654,4/20/2010,1,275.7176738
0.001333146,275.35907,4/21/2010,0,275.3604031
0.01306156,271.762451,4/22/2010,0,271.7755126
0.003783893,270.734131,4/23/2010,0,270.7379149
0.024495866,264.102264,4/26/2010,0,264.1267599
0.00485284,262.820618,4/27/2010,0,262.8254708
0.0002457,262.885193,4/28/2010,1,262.8849473
0.005309938,264.281097,4/29/2010,1,264.2757871
0.01184208,261.151459,4/30/2010,0,261.1633011
0.009320924,263.585632,5/3/2010,1,263.5763111
0.045665281,251.54892,5/4/2010,0,251.5945853
0.006694726,253.232971,5/5/2010,1,253.2262763
0.021755342,247.723801,5/6/2010,0,247.7455563
0.011089496,244.976669,5/7/2010,0,244.9877585
0.057813212,259.139557,5/10/2010,1,259.0817438
0.024154139,252.880264,5/11/2010,0,252.9044181
0.007189869,251.062088,5/12/2010,0,251.0692779
0.010862907,253.789352,5/13/2010,1,253.7784891
0.006557344,252.125168,5/14/2010,0,252.1317253
0.000866958,252.34375,5/17/2010,1,252.342883
0.018898752,247.574768,5/18/2010,0,247.5936668
0.007905794,245.617493,5/19/2010,0,245.6253988
0.039277528,235.970245,5/20/2010,0,236.0095225
0.006231476,234.499802,5/21/2010,0,234.5060335
0.010825161,237.0383,5/24/2010,1,237.0274748
0.000188615,236.993591,5/25/2010,0,236.9937796
0.003353804,236.198761,5/26/2010,0,236.2021148
0.031526685,243.645325,5/27/2010,1,243.6137983
0.009847917,241.245926,5/28/2010,0,241.2557739
0.006712905,239.626465,6/1/2010,0,239.6331779
0.022804084,245.090927,6/2/2010,1,245.0681229
0.024788637,251.166397,6/3/2010,1,251.1416084
0.013607593,247.748627,6/4/2010,0,247.7622346
0.026467727,241.191284,6/7/2010,0,241.2177517
0.001524164,240.823669,6/8/2010,0,240.8251932
0.022195617,235.478439,6/9/2010,0,235.5006346
0.027403927,241.931473,6/10/2010,1,241.9040691
0.003059494,242.671661,6/11/2010,1,242.6686015
0.010870029,240.033813,6/14/2010,0,240.044683
0.030629739,247.385986,6/15/2010,1,247.3553563
0.006586509,249.015396,6/16/2010,1,249.0088095
0.002373974,248.42424,6/17/2010,0,248.426614
1.00E-04,248.399399,6/18/2010,0,248.399499
0.02293861,242.701462,6/21/2010,0,242.7244006
0.004728183,241.553925,6/22/2010,0,241.5586532
0.008637516,239.467499,6/23/2010,0,239.4761365
0.014417593,236.014954,6/24/2010,0,236.0293716
0.005093656,234.812775,6/25/2010,0,234.8178687
0.001269377,234.514709,6/28/2010,0,234.5159784
0.037747875,225.662277,6/29/2010,0,225.7000249
0.020494821,221.037369,6/30/2010,0,221.0578638
0.012271034,218.325012,7/1/2010,0,218.337283
0.006689614,216.864502,7/2/2010,0,216.8711916
0.00109953,216.626053,7/6/2010,0,216.6271525
0.032403065,223.645401,7/7/2010,1,223.6129979
0.014127069,226.804855,7/8/2010,1,226.7907279
0.023939911,232.234543,7/9/2010,1,232.2106031
0.017839943,236.377594,7/12/2010,1,236.3597541
0.028098264,243.019394,7/13/2010,1,242.9912957
0.004374466,244.082474,7/14/2010,1,244.0780995
0.005454484,245.413818,7/15/2010,1,245.4083635
0.069653071,228.319992,7/16/2010,0,228.3896451
0.014294758,231.583771,7/19/2010,1,231.5694762
0.033055909,239.238983,7/20/2010,1,239.2059271
0.008492696,237.207199,7/21/2010,0,237.2156917
0.015308886,240.838577,7/22/2010,1,240.8232681
0.010828963,243.446609,7/23/2010,1,243.43578
0.002224196,242.905136,7/26/2010,0,242.9073602
0.007485128,244.723312,7/27/2010,1,244.7158269
0.016807757,240.610062,7/28/2010,0,240.6268698
0.001321358,240.927994,7/29/2010,1,240.9266726
0.000288675,240.858444,7/30/2010,0,240.8587327
0.011467478,243.620483,8/2/2010,1,243.6090155
0.001182704,243.332352,8/3/2010,0,243.3335347
0.033664763,251.524078,8/4/2010,1,251.4904132
0.003515556,252.408325,8/5/2010,1,252.4048094
0.01550874,248.49379,8/6/2010,0,248.5092987
0.010255451,251.042206,8/9/2010,1,251.0319505
